,credit_score,age,balance,estimated_salary,country,gender,tenure
985,551.0,31,82293.82,91565.25,1,2,9
992,752.0,42,6546.8,14139.28,1,1,3
998,811.0,28,167738.82,993.42,1,1,4
1000,648.0,42,12198.56,427.2,1,1,8
1002,725.0,39,588.98,18423.54,1,2,1
1004,61.00000000000001,26,15514.690000000002,57.589999999999996,1,1,7
1005,521.0,52,116497.31,53793.1,1,2,5
1016,541.0,4,9571.11,4963.42,1,2,7
1017,778.0,41,13976.31,63337.19000000001,1,2,7
1018,85.0,45,1399.86,683.11,1,1,5
1027,737.0,35,133377.8,645.19,1,2,4
1048,812.0,25,54817.55,13166.31,1,2,5
1049,631.0,4,17949.45,52449.62,1,2,3
1052,67.0,38,9825.77,176318.27,1,2,3
1058,64.0,33,81677.22,34925.56,1,2,8
1062,613.0,38,67111.65,78566.64,1,2,9
1067,65.0,26,214346.96,128815.33,1,2,4
1070,686.0,47,17935.94,173179.79,1,1,5
1071,695.0,52,1323.26,22485.64,1,2,8
1075,743.0,32,14348.560000000001,163254.39,1,1,6
1078,677.0,41,14672.98,4195.84,1,1,8
1080,766.0,38,13933.74,235.94000000000003,1,1,7
1090,539.0,34,91622.42,13663.42,1,1,4
1096,756.0,39,1717.85,7346.4,1,1,3
1103,512.0,32,12343.85,812.19,1,1,2
1107,42.0,34,135549.9,149471.13,1,1,1
1108,679.0,38,11555.37,46522.68,1,2,7
1111,833.0,59,13854.59,3722.52,1,2,1
1113,731.0,21,132312.6,16663.46,1,1,8
1120,848.0000000000001,31,918.4500000000002,193132.98,1,2,4
1122,698.0,56,112414.81000000001,93982.2,1,2,1
1123,779.0,33,158456.76,197.92,1,2,1
1125,612.0,58,149641.53,115161.28,1,1,1
1127,549.0,45,143734.1,9644.38,1,1,3
1130,571.0,34,11736.66,195651.66,1,1,1
1135,733.0,31,157791.7,177994.81,1,2,6
1138,468.0,42,181627.14,172668.39,1,2,9
1144,765.0,42,148962.76,173878.87,1,2,4
1146,614.0,3,131344.52,54776.64,1,1,3
1147,593.0,29,11713.84,134594.99,1,1,5
1152,652.0,45,151421.44,115333.43000000001,1,2,2
1153,755.0,45,135643.0,143619.52,1,1,7
1158,434.0,58,12581.3,6891.8,1,1,9
1163,747.0,32,67495.4,7737.37,1,1,5
1165,712.0,49,154776.42,196257.68,1,1,5
1166,622.0,28,143124.63,81723.8,1,1,1
1171,693.0,4,12711.73,27345.18,1,2,5
1172,647.0,42,122717.52999999998,87.39,1,1,3
1179,87.0,31,9346.47,172782.69,1,1,1
1181,651.0,24,4224.7,178341.33,1,1,7
1184,584.0,47,13538.77,92915.84,1,2,7
1191,639.0,27,15795.810000000001,8528.93,1,2,3
1196,718.0,28,65643.3,2876.99,1,2,4
1200,772.0,3,99785.28,197238.3,1,2,6
1201,399.0,46,127655.22000000002,139994.68,1,2,2
1207,752.0,3,81523.38,36885.85,1,2,4
1217,55.0,29,145541.56,5819.95,1,2,3
1219,693.0,44,12461.58,46998.13,1,2,5
1220,725.0,33,115182.84,177279.41,1,1,7
1226,531.0,42,88324.31,75248.75,1,1,6
1230,775.0,36,19949.5,71682.54,1,2,2
1232,587.0,46,1785.8200000000002,139431.0,1,2,9
1233,667.0,39,83765.35,118358.54,1,1,4
1235,523.0,63,116227.27,11944.63,1,2,6
1236,662.0,33,13471.52,16273.0,1,2,3
1242,696.0,3,11427.7,193716.56,1,2,4
1243,693.0,25,14658.689999999999,14633.35,1,2,6
1244,587.0,38,132122.42,3173.32,1,1,5
1250,548.0,32,175214.71,155165.61,1,2,5
1251,588.0,4,125534.51,12154.18,1,1,1
1253,499.00000000000006,55,126817.65000000001,123269.71,1,1,4
1259,559.0,36,14356.94,54184.6,1,1,1
1260,74.0,27,1474.34,64381.33000000001,1,2,5
1261,744.0,38,7323.17,7877.86,1,2,6
1267,837.0,38,126732.85,79577.38,1,2,2
1270,724.0,3,115315.4,15216.53,1,2,7
1272,585.0,39,16561.41,131852.1,1,1,7
1276,635.0,37,113488.68,95611.74,1,2,5
1289,672.0,4,1298.44,1285.81,1,2,1
1290,653.0,31,143321.97,83679.46,1,2,9
1299,618.0,42,153572.31,76679.6,1,2,6
1303,593.0,32,13496.53,53931.5,1,1,9
1305,811.0,52,76915.4,146359.81,1,2,1
1310,748.0,27,9971.85,131662.47,1,1,2
1319,756.0,41,124439.48999999999,4793.11,1,2,2
1324,687.0,26,142721.52,15365.75,1,2,2
1328,593.0,62,118233.81,24765.53,1,1,3
1331,848.9999999999999,37,143452.74,17294.12,1,2,7
1333,539.0,38,8247.51,13123.41,1,1,8
1334,489.0,28,7946.9800000000005,167973.63,1,2,1
1337,71.0,3,133537.1,155593.74,1,1,1
1344,46.0,4,11957.58,9156.63,1,1,6
1352,535.0,48,134542.73,5823.67,1,2,5
1360,647.0,22,97975.82,6283.0,1,1,3
1362,555.0,41,11327.2,185387.14,1,2,1
1364,85.0,39,124548.99,1238.12,1,2,3
1367,68.0,44,11423.47,7783.36,1,2,7
1369,652.0,5,125437.64,1716.94,1,2,8
1373,528.0,46,135555.66,133146.3,1,1,9
1379,668.0,32,9241.87,43595.9,1,1,1
1380,625.0,26,13483.95,12281.53,1,2,3
1391,775.0,38,125212.64999999998,15795.88,1,1,4
1397,487.0,46,1357.58,44244.49,1,1,4
1411,685.0,3,84958.6,194343.72,1,1,4
1412,673.0,29,9997.36,9796.69,1,1,4
1413,53.00000000000001,3,136622.55,4731.24,1,2,1
1414,485.0,3,156771.68,141148.21,1,1,5
1415,799.0,28,167658.33,111138.25,1,2,7
1417,67.0,24,19483.54,12756.77,1,1,2
1418,521.0,4,13454.78,1882.6000000000001,1,1,9
1421,52.0,32,1129.77,56246.69000000001,1,2,5
1423,657.0,3,139762.13,23317.88,1,2,1
1427,792.0,59,1169.77,161479.19,1,1,9
1436,576.0,28,119336.29,58976.84999999999,1,2,1
1438,54.0,56,14217.3,55857.48,1,2,9
1440,558.0,39,144757.2,22878.16,1,2,1
1448,555.0,46,12392.99,177719.88,1,1,4
1449,594.0,26,13567.52,131211.86,1,1,6
1455,686.0,35,19342.82,8643.27,1,2,2
1462,616.0,41,1356.57,236.45000000000002,1,1,1
1467,624.0,35,1833.2400000000002,163587.9,1,1,4
1469,819.0,49,12656.86,166164.3,1,1,1
1470,568.0,31,61592.14,61796.64,1,1,1
1474,755.0,3,154221.37,62688.55,1,1,6
1479,595.0,32,13181.66,69428.79,1,2,8
1491,54.0,42,12365.49,19469.77,1,1,7
1495,685.0,57,11868.51,113483.96,1,2,7
1498,595.0,25,1657.34,17725.79,1,1,7
1502,796.0,39,8635.87,158.53,1,2,5
1505,66.0,48,13243.56,3691.91,1,2,4
1507,549.0,42,134985.66,611.41,1,1,3
1520,723.0,52,131694.97,92873.5,1,2,5
1527,661.0,35,12498.54,86678.48,1,2,8
1532,661.0,32,14598.23,56636.28,1,1,1
1534,573.0,47,152522.47,16438.7,1,1,4
1540,53.00000000000001,23,1376.88,165227.23,1,2,1
1541,654.0,37,112146.12,75927.35,1,2,5
1545,62.0,42,158414.85,131886.46,1,1,6
1546,71.0,48,9272.68,133992.36,1,1,1
1557,515.0,37,9432.92,188366.4,1,2,2
1559,76.0,42,77992.97,9796.38,1,2,4
1560,72.0,42,11822.9,72861.94,1,1,1
1561,632.0,42,119624.60000000002,195978.86,1,2,4
1562,694.0,31,1952.5900000000001,19448.93,1,2,6
1564,773.0,42,152324.66,171733.22,1,1,8
1566,524.0,37,12748.58,179634.69,1,1,9
1569,651.0,42,116646.76,44731.8,1,1,1
1574,678.0,23,115563.70999999999,91633.53,1,2,1
1579,618.0,41,3772.79,195775.48,1,2,8
1581,445.0,34,13182.17,7617.999999999999,1,1,7
1589,675.0,36,8949.95,149399.7,1,2,7
1594,76.0,28,124923.35,5299.14,1,1,6
1596,769.0,27,188614.7,171344.9,1,2,7
1598,61.00000000000001,48,12782.7,6394.68,1,1,8
1603,576.0,36,166287.85,2335.85,1,1,8
1605,636.0,31,8844.69,74641.9,1,1,9
1606,566.0,4,971.36,154486.1,1,1,2
1611,76.0,49,9152.99,117232.9,1,1,9
1613,739.0,29,59385.98,15533.96,1,2,3
1615,685.0,21,97956.5,164966.27,1,1,6
1620,712.0,42,141749.74,995.26,1,2,1
1629,736.0,46,13812.91,77981.54,1,2,5
1630,657.0,57,17174.58,126369.55000000002,1,2,8
1639,54.0,32,17291.22,15658.99,1,2,8
1645,56.0,41,57745.76,435.4599999999999,1,1,3
1646,57.0,5,129293.74,17785.44,1,1,5
1648,698.0,4,15777.1,114732.62000000001,1,1,8
1656,581.0,31,116891.72,17137.3,1,2,6
1657,74.0,54,133656.91,14571.33,1,1,6
1661,69.0,32,16683.52,137916.49,1,2,6
1662,695.0,4,13922.24,193383.13,1,2,7
1663,7.0,4,148571.7,189826.96,1,1,4
1671,594.0,41,122545.65000000001,425.24,1,2,2
1673,652.0,26,13198.35,179269.79,1,1,1
1674,68.0,42,15722.69,9558.24,1,1,7
1685,613.0,42,117356.19,113557.70000000001,1,1,4
1696,814.0,44,95488.82,1713.59,1,2,8
1698,485.0,51,144244.59,51113.14,1,2,7
1699,696.0,31,12221.92,33828.64,1,1,8
1703,79.0,42,85839.62,198182.73,1,2,1
1711,85.0,3,12321.56,1218.27,1,2,5
1714,73.0,45,15288.969999999998,162478.11,1,2,6
1715,685.0,42,18589.47,19488.51,1,2,9
1720,85.0,33,15663.56,3333.89,1,1,3
1724,627.0,29,139541.58,867.33,1,2,5
1725,631.0,37,12181.72,23146.62,1,1,2
1726,776.0,38,112281.69999999998,89893.6,1,2,5
1733,614.0,32,99462.8,51117.6,1,2,7
1734,672.0,21,165878.76,164537.17,1,1,3
1736,633.0,29,138577.34,193362.99,1,1,3
1742,584.0,54,77354.37,138192.98,1,1,1
1747,586.0,34,7439.810000000001,1534.93,1,2,9
1748,674.0,34,152797.9,17579.4,1,2,2
1750,61.00000000000001,33,11443.18,15312.13,1,1,7
1752,744.0,41,84113.41,197548.63,1,1,2
1754,724.0,33,13564.83,12185.72,1,2,5
1757,523.0,39,14393.109999999999,118711.75000000001,1,1,1
1758,642.0,3,129753.69,582.53,1,1,5
1765,766.0,42,11288.4,3676.56,1,2,6
1769,67.0,39,84468.67,121945.42,1,2,2
1772,656.0,27,118627.16,16835.3,1,2,4
1785,713.0,4,114446.84,8738.18,1,2,3
1790,697.0,74,1871.3600000000004,16445.79,1,1,3
1795,683.0,35,95698.79,182566.76,1,1,5
1797,647.0,44,9396.35,36579.53,1,2,4
1805,769.0,31,148913.72,53817.23,1,1,7
1812,85.0,33,134678.13,113177.95,1,1,7
1814,579.0,31,9547.48,188.13,1,2,2
1817,628.0,36,91286.51,6385.94,1,1,3
1823,788.0,57,93716.72,1815.49,1,1,8
1825,77.0,45,11765.68,26163.74,1,2,4
1826,569.0,25,173459.45,44381.6,1,2,9
1829,725.0,45,116917.69999999998,173464.43,1,2,8
1833,663.0,32,13627.66,47161.25,1,2,8
1835,696.0,38,142316.14,818.49,1,2,6
1838,35.0,39,19733.2,12362.11,1,2,4
1848,518.0,35,141665.63,192776.64,1,1,8
1850,785.0,33,136624.6,169117.74,1,1,5
1854,74.0,36,1944.6,94554.74,1,1,4
1861,565.0,38,158651.29,179445.28,1,1,2
1869,652.0,33,128135.99,158437.73,1,2,7
1873,659.0,39,1452.11,2652.69,1,1,1
1876,64.0,39,13167.28,6981.43,1,2,9
1880,589.0,36,14355.56,136329.96,1,1,9
1883,79.0,24,17418.27,1645.21,1,2,7
1892,634.0,31,76798.92,19621.73,1,1,8
1898,85.0,45,127258.79,192744.23,1,1,5
1905,535.0,2,134874.4,118825.56,1,2,9
1912,687.0,29,78939.15,122134.56,1,1,4
1913,757.0,3,15128.85,62972.12999999999,1,2,6
1916,543.0,48,19.5,3331.72,1,2,1
1917,428.0,4,129248.11,72876.43,1,1,3
1927,414.19999999999993,36,152899.24,17713.33,1,2,8
1928,515.6,54,134388.11,49954.79,1,2,3
1930,536.0,23,92366.72,12661.71,1,2,6
1933,666.0,74,1512.5,46172.47,1,2,7
1934,726.0,3,111375.32,274.9,1,2,5
1936,728.0,33,15412.140000000001,17764.8,1,1,9
1940,531.0,31,11752.82,11858.9,1,1,7
1943,728.0,39,152182.83,16123.6,1,2,6
1946,648.0,34,9539.73,14755.87,1,2,3
1952,624.0,27,94667.29,447.52,1,2,9
1955,565.0,58,18888.24,135875.51,1,1,3
1963,578.0,34,147487.23,6668.77,1,2,8
1966,681.0,48,13948.18,163581.67,1,1,8
1978,493.99999999999994,37,1716.33,17263.9,1,2,5
1986,845.0,41,81733.74,199761.29,1,1,2
1991,626.0,36,181671.16,57531.14,1,2,2
1993,824.0,6,13425.17,15346.16,1,2,8
1999,76.0,29,11596.21,119446.88,1,1,4
2007,612.0,45,14312933.0,61327.26,1,2,3
2008,753.0,58,1326291.0,1597.67,1,2,1
2018,656.0,36,1368152.0,1741.95,1,1,2
